StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,P_MD_A,P_MD_B,P_MD_C,P_MD_D,P_MD_A_2C,P_MD_B_2C,P_MD_C_2C,P_MD_D_2C,Pharma_OE,T_MD_A,T_MD_B,T_MD_C,T_MD_D,T_MD_A_2C,T_MD_B_2C,T_MD_C_2C,T_MD_D_2C,Training_OE,Q66,PROLIFIC_PID,pay,time,STUDY_ID,SESSION_ID,threshold,comparative,prob,vignette,condition,propstab2,propstab3,propstab4,propstab5,propstab1,propstab6
5/24/22 8:21,5/24/22 8:23,IP Address,*******,100,157,TRUE,5/24/22 8:23,R_42vBpiQfGkkPVeh,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5fc30c35704ddd267cc9123f,,,,,,,,,,Yes,No,No,No,,,,,I think a 98% rate on becoming a successfull employee is a good pick.,,5fc30c35704ddd267cc9123f,$0.60 ,3 minutes,628b73cfc29e0b431ef8cb63,628ce9c87805d305d835e7e6,80,No,98,training,stability,case studies and takes place on weekends,case studies and does not take place on weekends,simulations and takes place on weekends,simulations and does not take place on weekends,either take place on weekends or do not take place on weekends,and they either take place on weekends or do not take place on weekends
5/24/22 8:45,5/24/22 8:47,IP Address,*******,100,130,TRUE,5/24/22 8:47,R_0e1VGr1xDQ0wK4h,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5eda1df96594865efe959f04,Yes,Yes,No,No,,,,,"Medicine A and B had an efficacy rate above 50% while Medicine C and D only had an efficacy rate of 1%. Thus,  I chose to stock A and B but not C or D.",,,,,,,,,,,5eda1df96594865efe959f04,$0.60 ,3 minutes,628b73cfc29e0b431ef8cb63,628cef786a9af966ff277bb2,50,Yes,85,pharma,stability,ingredient Reptol and must be taken with food,ingredient Reptol and must be taken without food,ingredient Psylo and must be taken with food,ingredient Psylo and must be taken without food,either must be taken with food or must be taken without food,"and medicines containing either ingredient must taken with food or without food, depending on the medication"
5/24/22 9:30,5/24/22 9:33,IP Address,*******,100,180,TRUE,5/24/22 9:33,R_25QiUlBOninV3la,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,60fe0e3c62944add47d0688a,,,,,,,,,,Yes,Yes,No,No,,,,,"Case studies that take place on weekends seem to be the most successful training programs. The simulations were not effective at all, regardless of when the training took place. ",,60fe0e3c62944add47d0688a,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef12,628cf9f3f248330dbbe2268b,50,Yes,98,training,stability,case studies and takes place on weekends,case studies and does not take place on weekends,simulations and takes place on weekends,simulations and does not take place on weekends,either take place on weekends or do not take place on weekends,and they either take place on weekends or do not take place on weekends
5/24/22 9:43,5/24/22 9:46,IP Address,*******,100,162,TRUE,5/24/22 9:46,R_3qsAqzTMhckB1Ca,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5f2cd45cd689ae1ec67c848c,,,,,,,,,,Yes,No,No,No,,,,,Typically it does not matter when they take place (weekday or weekend) a successful program is only deemed so if above 80% of employees become successful.,It was a bit wordy but for the most part easy to understand. I enjoyed it.,5f2cd45cd689ae1ec67c848c,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef11,628cfd23d0be863736d920ac,80,No,85,training,stability,case studies and takes place on weekends,case studies and does not take place on weekends,simulations and takes place on weekends,simulations and does not take place on weekends,either take place on weekends or do not take place on weekends,and they either take place on weekends or do not take place on weekends
5/24/22 9:47,5/24/22 9:55,IP Address,*******,100,498,TRUE,5/24/22 9:55,R_0eytMB6c4MyERbz,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,60cfc19a7fb89db2e0332e26,Yes,Yes,No,No,,,,,There is a drastic difference between the ingredients. More people experienced a reduction of headache with one over the other.,,,,,,,,,,,60cfc19a7fb89db2e0332e26,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef11,628cfcaf1f2bc937f20fa4e8,50,Yes,98,pharma,proportionality,ingredient Type-1 Reptol,ingredient Type-2 Reptol,ingredient Type-1 Psylo,ingredient Type-2 Psylo,that both ingredients come in two types: Type-1 and Type-2,each of which come in one of two types: Type-1 and Type-2
5/24/22 9:51,5/24/22 10:00,IP Address,*******,100,515,TRUE,5/24/22 10:00,R_1oFrmGeNwrc8gqw,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,6019a15929a5ac0825f77cff,,,,,,,,,,Yes,No,No,No,,,,,"The training for new employees was based on attendance records. In particular the number of new hires who successfully complete the program over 80%. The type of program had no additional description on what makes the programs different except some were the control aspect of the experiment for comparison. Only one of the four programs reached the required benchmark to pass on to the program director. The other programs would need additional scoping and collaboration if the company has the funds to expand on them. My suggestion would be to focus on the second case with 70% successful rate, because the program fails to meet the mark but is only off by around 10%  compared to the other programs that require much more background for the time limitation (no deadline was mentioned for this situation just based off of previous experiences).",None. The survey was straight forward.,6019a15929a5ac0825f77cff,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef12,628cff08e0acf59f3d333381,80,No,85,training,proportionality,Type-1 case studies,Type-2 case studies,Type-1 simulations,Type-2 simulations,that both simulations and case studies come in two types: Type-1 and Type 2,each of which come in one of two types: Type-1 and Type-2
5/24/22 9:53,5/24/22 10:02,IP Address,*******,100,593,TRUE,5/24/22 10:02,R_2rvZ6yfbuwB35Jy,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5d4c920ff84e9b0019c1aff4,Yes,Yes,No,No,Yes,No,No,No,I learned that the active ingredients of Reptol or Psylo must be taken with or without food. It lessens the severity of headaches.,,,,,,,,,,No,5d4c920ff84e9b0019c1aff4,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef12,628cff560eb2a62ddf1e1ab5,80,No,98,pharma,stability,ingredient Reptol and must be taken with food,ingredient Reptol and must be taken without food,ingredient Psylo and must be taken with food,ingredient Psylo and must be taken without food,either must be taken with food or must be taken without food,"and medicines containing either ingredient must taken with food or without food, depending on the medication"
5/24/22 10:02,5/24/22 10:07,IP Address,*******,100,290,TRUE,5/24/22 10:07,R_3nT9TbeQLkZC9wR,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,6102e4f5caf1aed4d071c696,Yes,Yes,No,No,,,,,The addition of Psylo in both Type-1 and Type-2 had a low headache reduction rate of only 1% causing it to be below the threshold of pain reliever to stock.,,,,,,,,,,no,6102e4f5caf1aed4d071c696,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef12,628d01583ee499b1131cf5d2,50,Yes,85,pharma,proportionality,ingredient Type-1 Reptol,ingredient Type-2 Reptol,ingredient Type-1 Psylo,ingredient Type-2 Psylo,that both ingredients come in two types: Type-1 and Type-2,each of which come in one of two types: Type-1 and Type-2
5/24/22 10:16,5/24/22 10:20,IP Address,*******,100,254,TRUE,5/24/22 10:20,R_3fHjMYNKr7oCxCh,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5be6e678d153f500019a5dcc,,,,,,,,,,Yes,Yes,No,No,,,,,The programs that used case studies were a lot better than the ones that relied on simulations. It didn't matter if the programs were run on weekends or not.,no,5be6e678d153f500019a5dcc,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef11,628d04c4bd43c2bbe507f2aa,50,Yes,98,training,stability,case studies and takes place on weekends,case studies and does not take place on weekends,simulations and takes place on weekends,simulations and does not take place on weekends,either take place on weekends or do not take place on weekends,and they either take place on weekends or do not take place on weekends
5/24/22 10:18,5/24/22 10:22,IP Address,*******,100,211,TRUE,5/24/22 10:22,R_VJ7n3x6ME33SigV,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5f13b237c08bc13e4ef2e760,,,,,,,,,,Yes,No,No,No,,,,,Based on the 4 training programs given it seems the one that took place on the weekend was the one with high success rate.,,5f13b237c08bc13e4ef2e760,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef12,628d0556872522e52a8a6704,80,No,98,training,stability,case studies and takes place on weekends,case studies and does not take place on weekends,simulations and takes place on weekends,simulations and does not take place on weekends,either take place on weekends or do not take place on weekends,and they either take place on weekends or do not take place on weekends
5/24/22 10:22,5/24/22 10:25,IP Address,*******,100,180,TRUE,5/24/22 10:25,R_2zwrcrGEI9FPnfj,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,60fe32964829eef5dda64cd9,Yes,Yes,No,No,,,,,"According to the information provide, I would conclude that medication containing Type-1 and Type-2 Reptol is more effective at reducing the severity of headaches than those containing Type-1 and Type-2 Psylo. ",,,,,,,,,,,60fe32964829eef5dda64cd9,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef12,628d0628152c13748af968cf,50,Yes,85,pharma,proportionality,ingredient Type-1 Reptol,ingredient Type-2 Reptol,ingredient Type-1 Psylo,ingredient Type-2 Psylo,that both ingredients come in two types: Type-1 and Type-2,each of which come in one of two types: Type-1 and Type-2
5/24/22 10:26,5/24/22 10:28,IP Address,*******,100,153,TRUE,5/24/22 10:28,R_3PhmnRzEcD9HLgm,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,60bc103a03f994149f833124,Yes,No,No,No,,,,,Type 1 and 2 Reptol is more than 90% effect than type 1 and 2 Psylo. In most pharmacies it makes sense that they would prefer Reptol over Psylo.,,,,,,,,,,,60bc103a03f994149f833124,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef12,628d071ab775c762d2eb4791,80,No,98,pharma,proportionality,ingredient Type-1 Reptol,ingredient Type-2 Reptol,ingredient Type-1 Psylo,ingredient Type-2 Psylo,that both ingredients come in two types: Type-1 and Type-2,each of which come in one of two types: Type-1 and Type-2
5/24/22 10:26,5/24/22 10:32,IP Address,*******,100,353,TRUE,5/24/22 10:32,R_yX556ExtMu2QsZb,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,616f315b5e74ca5b9a1d2ca7,,,,,,,,,,Yes,Yes,No,No,,,,,The efficacy of these two programs would require that the trainees are more than 50% successful. This would require these trainees. to be part of these two groups.   ,It did not give enough information. It just skimmed the surface.,616f315b5e74ca5b9a1d2ca7,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef11,628d072fabb145bcb5ff092a,50,Yes,85,training,proportionality,Type-1 case studies,Type-2 case studies,Type-1 simulations,Type-2 simulations,that both simulations and case studies come in two types: Type-1 and Type 2,each of which come in one of two types: Type-1 and Type-2
5/24/22 10:28,5/24/22 10:33,IP Address,*******,100,287,TRUE,5/24/22 10:33,R_3mmelNknXKhsg0i,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,60fe1a9a99deac34f06a5309,Yes,Yes,No,No,,,,,Sometimes the medications work and sometimes they do not. The ones that work well tend to work for most people.,,,,,,,,,,,60fe1a9a99deac34f06a5309,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef12,628d07a99de7f6135679a72a,50,Yes,98,pharma,stability,ingredient Reptol and must be taken with food,ingredient Reptol and must be taken without food,ingredient Psylo and must be taken with food,ingredient Psylo and must be taken without food,either must be taken with food or must be taken without food,"and medicines containing either ingredient must taken with food or without food, depending on the medication"
5/24/22 10:33,5/24/22 10:37,IP Address,*******,100,219,TRUE,5/24/22 10:37,R_3pgPpoqxfemFwcP,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,610992345dff3a5180a13714,,,,,,,,,,Yes,No,No,No,,,,,I learned that the efficacy of different kind of training programs vary. One of them in particular had a higher percentage of outgoing successful employees compared to the other programs. Type-1 seemed to produce higher success rates.,,610992345dff3a5180a13714,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef12,628d07e419e64f198aedaae7,80,No,98,training,proportionality,Type-1 case studies,Type-2 case studies,Type-1 simulations,Type-2 simulations,that both simulations and case studies come in two types: Type-1 and Type 2,each of which come in one of two types: Type-1 and Type-2
5/24/22 10:23,5/24/22 10:38,IP Address,*******,100,882,TRUE,5/24/22 10:38,R_1rPaFzOyhUuiBb2,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5dd348356d522535afddc44e,,,,,,,,,,Yes,No,No,No,,,,,The most successful trainings used case studies instead of simulations. The only one that went over 80% was held on weekends. ,,5dd348356d522535afddc44e,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef12,628d06752bf81328eb5f6d00,80,No,85,training,stability,case studies and takes place on weekends,case studies and does not take place on weekends,simulations and takes place on weekends,simulations and does not take place on weekends,either take place on weekends or do not take place on weekends,and they either take place on weekends or do not take place on weekends
5/24/22 10:45,5/24/22 10:49,IP Address,*******,100,251,TRUE,5/24/22 10:49,R_OcyiA977JBrDZcd,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5ee04a3f7dfcae39390e6553,,,,,,,,,,Yes,Yes,No,No,,,,,I've learned that one has vastly more success in the hiring process than the other. ,No ,5ee04a3f7dfcae39390e6553,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef11,628d0b86647b57996fa84d59,50,Yes,98,training,proportionality,Type-1 case studies,Type-2 case studies,Type-1 simulations,Type-2 simulations,that both simulations and case studies come in two types: Type-1 and Type 2,each of which come in one of two types: Type-1 and Type-2
5/24/22 10:50,5/24/22 10:52,IP Address,*******,100,106,TRUE,5/24/22 10:52,R_2pL96OXFbiTqARB,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,60171277d472ae2062db3a35,Yes,Yes,No,No,,,,,It seems like Reptol works best with food and Psylo works best without it.,,,,,,,,,,,60171277d472ae2062db3a35,$0.60 ,3 minutes,628cf9bf368a7d6198f3ef12,628d0cc2070519fc2a4e2633,50,Yes,85,pharma,stability,ingredient Reptol and must be taken with food,ingredient Reptol and must be taken without food,ingredient Psylo and must be taken with food,ingredient Psylo and must be taken without food,either must be taken with food or must be taken without food,"and medicines containing either ingredient must taken with food or without food, depending on the medication"
