StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,PID,CompCheck,CharSel,NoteCardChoice_LL,NoteCardChoice_HL,NamedPrice,HowHelpful_4,Q98_1,Q98_2,Q98_3,Q98_4,Q98_5,Checker,Feedback,pay,time,PROLIFIC_PID,STUDY_ID,SESSION_ID,loss,cost,coins1,notes,coins2,coins3
4/18/23 7:43,4/18/23 7:46,IP Address,*******,100,180,TRUE,4/18/23 7:46,R_3CZoPKt12sDcaNl,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5c745589be30fc0014e83dc2,95,Bard,,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",6,2,12,8,5,3,2,Bard,"No! I loved it, DND vibes!",$1.00 ,5 minutes,5c745589be30fc0014e83dc2,643e94504237931b59924834,643e9e6767773e1e1807c6ec,high,12,88,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",82,82
4/18/23 7:41,4/18/23 7:46,IP Address,*******,100,312,TRUE,4/18/23 7:46,R_3h9HLTsVuz1vYHc,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5e9310d77d6dc1000baa5ee7,95,Siren,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,10,2,12,8,5,2,1,Siren,No,$1.00 ,5 minutes,5e9310d77d6dc1000baa5ee7,643e94504237931b59924834,643e9df6169215486e6deac0,low,12,88,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",78,78
4/18/23 7:45,4/18/23 7:47,IP Address,*******,100,139,TRUE,4/18/23 7:47,R_12gSd3IkX7OFgjF,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5e701badffc1a95eacebdf6f,95,Warrior,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,4,1,10,8,6,4,2,Warrior,,$1.00 ,5 minutes,5e701badffc1a95eacebdf6f,643e94504237931b59924833,643e9ee20df52328cbc897f0,low,10,90,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",86,86
4/18/23 7:46,4/18/23 7:48,IP Address,*******,100,179,TRUE,4/18/23 7:49,R_2To4Tjxw1gVEHwa,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5ffdf62d9169a23d1edaceab,95,Wizard,,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",8,3,12,8,6,3,0,Wizard,No,$1.00 ,5 minutes,5ffdf62d9169a23d1edaceab,643e94504237931b59924833,643e9f14630c51378475f80b,high,20,80,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",72,72
4/18/23 7:45,4/18/23 7:50,IP Address,*******,100,286,TRUE,4/18/23 7:50,R_3CTxsAExTeGU00y,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,62ca43b57440f78492ca4a3a,95,Warrior,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,8,0,10,8,7,6,5,Warrior,,$1.00 ,5 minutes,62ca43b57440f78492ca4a3a,643e94504237931b59924833,643e9ef975f326bb88303704,low,10,90,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",82,82
4/18/23 7:46,4/18/23 7:51,IP Address,*******,100,284,TRUE,4/18/23 7:51,R_3elwSzlkvuEqymU,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5d0ac7504d57690017a355ef,95,Warrior,,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",8,2,10,8,4,3,2,Warrior,I didn't notice anything. ,$1.00 ,5 minutes,5d0ac7504d57690017a355ef,643e94504237931b59924833,643e9f26c65def1769872f27,high,12,88,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",80,80
4/18/23 7:46,4/18/23 7:51,IP Address,*******,100,248,TRUE,4/18/23 7:51,R_3jeZSPtv304iVsE,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5c40bc191e67ca00010cc5f3,95,Warrior,"A note card that says ""Mushrooms are stronger than flowers."" Cost: 10 Gold Coins.",,5,-1,9,8,7,5,4,Warrior,No,$1.00 ,5 minutes,5c40bc191e67ca00010cc5f3,643e94504237931b59924833,643e9f4ae2f5380d28c4a14a,low,20,90,"""Mushrooms are stronger than flowers.""",85,85
4/18/23 7:48,4/18/23 7:52,IP Address,*******,100,224,TRUE,4/18/23 7:52,R_26597eRcNDyx8P3,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5a4ff86beedc32000141f232,95,Warrior,,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",5,-1,10,8,6,3,2,Warrior,no,$1.00 ,5 minutes,5a4ff86beedc32000141f232,643e94504237931b59924834,643e9fb8abdcf0a3e3401896,high,10,90,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",85,85
4/18/23 7:52,4/18/23 7:54,IP Address,*******,100,142,TRUE,4/18/23 7:54,R_1gRwCz3sHKUKJLO,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5e0aa9378f1faf32c47f560c,10,Wizard,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,5,1,10,8,4,3,2,Wizard,Nope,$1.00 ,5 minutes,5e0aa9378f1faf32c47f560c,643e94504237931b59924833,643ea081ba7fac3ae31ef18d,low,12,88,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",83,83
4/18/23 7:43,4/18/23 7:54,IP Address,*******,100,693,TRUE,4/18/23 7:54,R_30esHE9gRgo4FIO,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5e9b5d5193295f05c902b8d2,95,Wizard,,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",10,2,12,8,4,3,0,Wizard,,$1.00 ,5 minutes,5e9b5d5193295f05c902b8d2,643e94504237931b59924833,643e9e646f1e137b1f07c661,high,20,80,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",70,80
4/18/23 7:52,4/18/23 7:57,IP Address,*******,100,291,TRUE,4/18/23 7:57,R_6KfmKPHGF1NJ02Z,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,63038cfdc7ebc9bf4ded0cd1,95,Siren,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,5,2,9,8,7,2,1,Siren,,$1.00 ,5 minutes,63038cfdc7ebc9bf4ded0cd1,643e94504237931b59924834,643ea08f6f1e137b1f07c6b4,low,10,90,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",85,95
4/18/23 7:55,4/18/23 7:57,IP Address,*******,100,138,TRUE,4/18/23 7:57,R_2XamTEf00gs3VD8,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,612bbf7f2777e375241f0f45,9,Wizard,,"A note card that says ""Mushrooms are stronger than flowers."" Cost: 10 Gold Coins.",10,-1,1,2,3,4,5,Wizard,,$1.00 ,5 minutes,612bbf7f2777e375241f0f45,643e94504237931b59924834,643ea148ed13a64932772d35,high,10,90,"""Mushrooms are stronger than flowers.""",80,80
4/18/23 7:54,4/18/23 7:58,IP Address,*******,100,242,TRUE,4/18/23 7:58,R_2AZib6W64rcNzEr,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5ef11fdda0736031899eb5dc,95,Warrior,,"A note card that says ""Mushrooms are stronger than flowers."" Cost: 10 Gold Coins.",6,-3,12,8,4,3,0,Warrior,no,$1.00 ,5 minutes,5ef11fdda0736031899eb5dc,643e94504237931b59924834,643ea10978a50a623775f7ee,high,20,90,"""Mushrooms are stronger than flowers.""",84,94
4/18/23 7:54,4/18/23 7:59,IP Address,*******,100,264,TRUE,4/18/23 7:59,R_9YTF0rUfh5tbqPD,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,60fcdf04d033481fde0e2298,95,Bard,"A note card that says ""Mushrooms are stronger than flowers."" Cost: 10 Gold Coins.",,10,1,12,11,10,8,1,Bard,,$1.00 ,5 minutes,60fcdf04d033481fde0e2298,643e94504237931b59924834,643ea12cb3a26e60058e8515,low,12,90,"""Mushrooms are stronger than flowers.""",80,80
4/18/23 7:53,4/18/23 7:59,IP Address,*******,100,340,TRUE,4/18/23 7:59,R_2frNUE5gYLMmAJE,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5d4b14caed2dfc0001a22c1a,95,Huntress,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,8,2,9,8,7,2,1,Huntress,No,$1.00 ,5 minutes,5d4b14caed2dfc0001a22c1a,643e94504237931b59924834,643ea0ebbf8ceba1501ef110,low,12,88,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",80,90
4/18/23 7:56,4/18/23 8:00,IP Address,*******,100,237,TRUE,4/18/23 8:00,R_3n2VW2El590WxUO,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5947f37ff154200001b51473,95,Wizard,,"A note card that says ""Mushrooms are stronger than flowers."" Cost: 10 Gold Coins.",5,-1,12,8,4,3,0,Wizard,,$1.00 ,5 minutes,5947f37ff154200001b51473,643e94504237931b59924833,643ea194fb7da53def16f7c3,high,20,90,"""Mushrooms are stronger than flowers.""",85,95
4/18/23 7:59,4/18/23 8:01,IP Address,*******,100,160,TRUE,4/18/23 8:01,R_31dycAEpiczmf37,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,610825130bf4669d1b167efe,95,Warrior,,"A note card that says ""Mushrooms are stronger than flowers."" Cost: 10 Gold Coins.",5,-1,12,8,4,3,0,Warrior,,$1.00 ,5 minutes,610825130bf4669d1b167efe,643e94504237931b59924834,643ea229bd654ad0b3da0313,high,20,90,"""Mushrooms are stronger than flowers.""",85,95
4/18/23 7:59,4/18/23 8:02,IP Address,*******,100,149,TRUE,4/18/23 8:02,R_R1OyH82IqidTOyB,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,601c8b5b02683a7e54b93aeb,95,Wizard,,"A note card that says ""Mushrooms are stronger than flowers."" Cost: 10 Gold Coins.",4,2,12,8,4,3,0,Wizard,,$1.00 ,5 minutes,601c8b5b02683a7e54b93aeb,643e94504237931b59924833,643ea24ad5df864e214b4eff,high,12,90,"""Mushrooms are stronger than flowers.""",86,96
4/18/23 8:01,4/18/23 8:04,IP Address,*******,100,169,TRUE,4/18/23 8:04,R_80RR6FtgoRlPN2F,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,597f662f89542d0001517d78,95,Wizard,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,5,1,9,8,7,6,5,Wizard,Nope!,$1.00 ,5 minutes,597f662f89542d0001517d78,643e94504237931b59924833,643ea2b2195932e6bd9cdb64,low,10,90,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",85,85
4/18/23 7:59,4/18/23 8:04,IP Address,*******,100,314,TRUE,4/18/23 8:04,R_1kSyAuVmdAxcJsX,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5ef4db1a45dfc00e117b2a54,95,Wizard,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,5,1,9,8,7,2,1,Wizard,very easy,$1.00 ,5 minutes,5ef4db1a45dfc00e117b2a54,643e94504237931b59924834,643ea22ae815e8ae7de6f9ce,low,12,88,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",83,93
4/18/23 8:01,4/18/23 8:04,IP Address,*******,100,181,TRUE,4/18/23 8:04,R_2Em0SrUHGTPDDd2,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,63655ebbb1b1d02244d46c45,95,Wizard,,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",15,2,12,8,4,2,1,Wizard,,$1.00 ,5 minutes,63655ebbb1b1d02244d46c45,643e94504237931b59924833,643ea2b5b9c86de56f600bd2,high,12,88,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",73,73
4/18/23 8:01,4/18/23 8:04,IP Address,*******,100,169,TRUE,4/18/23 8:04,R_30oXV2ME1QtLA7f,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,62838cdc775f6094ddf0664b,95,Wizard,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,6,1,8,6,4,2,1,Wizard,remembering shit sucks but that's because i'm probably ADHD or something idk,$1.00 ,5 minutes,62838cdc775f6094ddf0664b,643e94504237931b59924833,643ea2d15ce4d540062a27e5,low,10,90,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",84,84
